# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Initial discovery generated from exact vtable topology and effective root callers.
# Manually maintained after bootstrap. Never replace this wall from generated output;
# review additions/removals and their source/static-library disposition explicitly.
rva	signals	status	note
0x14fa40	archive-read,archive-vslot2,archive-write	reconstructed	exact WORD-key/aligned four-byte-value CMap template serializer; 100%
0x14ffb0	archive-read,archive-vslot2,archive-write	reconstructed	source-owned CMap<WORD, WORD, CWorldMapRecord, CWorldMapRecord&> serializer; 32.40% compiler-context residual
0x1501d0	archive-read,archive-vslot2,archive-write	reconstructed	exact four-byte-value CList template serializer; 100%
0x1503e0	archive-read,archive-vslot2,archive-write	reconstructed	exact CList<DWORD, DWORD> count and DWORD element serializer; 100%
0x1536b5	archive-read	static-library	initial retail call/vtable census; CArchiveStream::Read
0x15370d	archive-write	static-library	initial retail call/vtable census; CArchiveStream::Write
0x17048a	archive-vslot2	static-library	initial retail call/vtable census; slot-2 class=CStringArray; CStringArray::Serialize
0x170bd9	archive-vslot2	static-library	initial retail call/vtable census; slot-2 class=CDWordArray; CDWordArray::Serialize
0x170f93	archive-vslot2	static-library	initial retail call/vtable census; slot-2 class=CWordArray; CWordArray::Serialize
0x1716ad	archive-vslot2	static-library	initial retail call/vtable census; slot-2 class=CByteArray; CByteArray::Serialize
0x172015	archive-vslot2	static-library	initial retail call/vtable census; slot-2 class=CMapStringToString; CMapStringToString::Serialize
0x172739	archive-vslot2	static-library	initial retail call/vtable census; slot-2 class=CMapStringToOb; CMapStringToOb::Serialize
0x17badb	archive-read,archive-write	static-library	initial retail call/vtable census; SerializeElements
0x17bb29	archive-read	static-library	initial retail call/vtable census; CRuntimeClass::Load
0x17bbb9	archive-write	static-library	initial retail call/vtable census; CRuntimeClass::Store
0x184413	archive-read	static-library	pinned SP2 FID: exact 0x1b NAFXCW.LIB CArchive collection-pointer reader; 13-way MFC identity collision retained
0x18461e	archive-read	static-library	pinned SP2 FID: exact 0x1b NAFXCW.LIB CArchive collection-pointer reader; 13-way MFC identity collision retained
0x184686	archive-read	static-library	pinned SP2 FID: exact 0x1b NAFXCW.LIB CArchive collection-pointer reader; 13-way MFC identity collision retained
0x184800	archive-read	static-library	pinned SP2 FID: exact 0x1b NAFXCW.LIB CArchive collection-pointer reader; 13-way MFC identity collision retained
0x185563	archive-read	static-library	pinned SP2 FID: exact 0x1b NAFXCW.LIB CArchive collection-pointer reader; 13-way MFC identity collision retained
0x1855d3	archive-read	static-library	pinned SP2 FID: exact 0x1b NAFXCW.LIB CArchive collection-pointer reader; 13-way MFC identity collision retained
